7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,102,100,7,21,22,45,21,22,45,45,21,22,45,46,47
27,27,5,6,27,7,5,6,27,0,1,2,3,4,8,102,100,27,28,7,7,83,84,45,21,21,22,45,21,22
47,47,25,26,47,27,25,26,47,20,21,22,23,24,8,102,100,27,28,7,7,103,104,45,21,22,45,45,46,21
21,21,21,22,27,47,47,47,48,40,41,42,43,44,8,102,100,27,28,27,21,21,22,7,83,84,7,83,84,7
21,41,5,6,21,21,22,42,22,60,61,62,63,64,8,102,100,7,8,7,27,83,84,27,103,104,7,103,104,27
41,41,25,26,41,21,21,22,42,43,47,48,48,48,8,102,100,27,28,27,27,103,104,45,45,45,27,21,22,47
41,42,21,41,42,41,41,0,1,2,3,4,47,48,28,102,100,21,22,83,84,0,1,1,2,3,1,1,4,21
22,23,41,41,42,46,47,20,21,22,23,24,47,48,48,102,100,21,22,103,104,20,7,8,22,21,22,65,24,21
42,43,7,8,5,6,8,40,41,42,43,44,48,47,48,102,100,46,22,22,22,40,68,0,2,3,4,47,24,21
21,22,23,28,25,26,28,60,61,62,63,64,8,88,121,122,100,46,46,22,22,20,65,40,22,23,24,22,24,7
21,22,23,22,23,22,48,22,23,7,8,8,28,102,80,81,109,46,46,22,22,40,68,60,62,63,64,47,44,7
21,22,15,16,16,17,41,42,43,27,28,8,48,107,105,45,46,22,46,45,46,20,7,8,68,46,5,6,24,7
21,22,35,18,19,37,41,42,43,47,48,8,8,107,105,45,46,5,6,45,46,40,21,22,23,65,25,26,44,7
21,22,35,38,39,37,22,23,43,67,68,28,28,107,105,45,46,25,26,45,46,60,61,62,63,61,61,61,64,27
21,22,55,56,56,57,42,43,43,5,6,48,48,107,105,27,27,27,46,47,41,42,46,46,46,41,42,41,42,48
21,22,23,7,7,8,41,42,43,25,26,41,42,107,105,27,22,88,121,121,121,121,121,121,121,121,121,121,121,121
41,42,5,6,7,88,126,126,126,89,22,22,23,107,120,121,126,122,80,81,82,123,123,80,81,82,123,123,123,123
47,47,25,26,27,108,81,81,81,109,7,22,23,107,123,123,123,123,100,101,102,123,123,100,101,102,123,100,42,102
67,67,67,67,47,47,27,27,27,27,27,22,23,107,123,123,123,123,120,121,122,123,123,125,121,122,123,100,101,102
22,22,23,23,67,67,47,47,47,47,47,22,23,107,123,123,123,123,123,123,123,123,123,123,123,123,123,120,121,122
