101,101,101,67,45,67,22,48,67,68,45,68,67,101,102,123,123,123,100,44,101,46,101,106,101,101,116,101,101,101,101,101,101,101,116,101,101,101,101,101
47,47,101,0,2,22,42,45,101,101,8,68,48,101,102,123,123,123,100,25,1,1,4,45,47,8,101,101,46,101,101,106,101,101,101,101,46,101,101,48
101,8,22,20,24,101,3,4,45,65,28,67,68,101,102,123,123,123,120,121,121,84,24,101,101,28,101,101,45,101,101,101,101,45,106,101,101,101,101,68
101,28,42,40,22,68,23,24,101,101,101,68,68,101,102,123,123,123,123,123,123,100,25,4,101,101,101,101,47,101,8,101,101,101,101,45,101,101,47,101
101,47,47,40,42,65,111,44,7,66,101,101,101,83,122,123,123,123,80,82,123,120,84,24,47,46,101,101,116,101,28,101,101,47,101,101,101,101,101,101
101,47,47,60,62,116,63,64,27,8,101,66,101,102,123,123,123,80,104,102,123,123,100,44,101,116,101,101,101,101,101,101,48,101,8,101,101,101,47,101
101,101,66,101,101,101,8,68,101,28,101,101,101,102,123,123,123,110,21,102,123,123,100,25,4,101,101,106,101,101,101,101,68,101,28,101,0,1,1,1
45,7,101,101,8,7,28,101,116,66,101,8,101,102,123,123,123,110,21,103,82,123,120,84,24,41,41,41,101,101,45,101,101,101,101,0,26,83,121,121
101,27,48,8,28,27,101,7,101,101,68,28,9,10,11,12,11,78,79,101,103,82,123,100,25,1,4,101,47,101,101,116,101,116,0,26,83,122,123,123
106,8,101,28,48,66,101,27,101,8,101,101,29,30,31,32,31,98,99,101,9,10,11,11,78,79,64,101,101,106,101,46,101,0,26,83,122,80,81,81
101,28,101,116,48,7,116,68,101,28,101,7,49,50,51,52,51,118,119,101,29,30,31,31,98,99,101,101,101,101,0,2,3,26,83,122,80,104,21,7
101,45,101,101,101,27,101,101,66,101,116,27,68,70,123,72,123,138,101,101,49,50,51,51,118,119,25,4,41,41,20,87,89,83,122,80,104,21,21,27
126,126,126,126,126,126,84,116,83,126,126,126,126,122,123,123,123,105,101,101,101,70,71,71,120,121,84,25,1,1,26,87,109,122,80,104,21,21,21,21
123,123,123,85,82,123,125,126,122,123,123,123,123,123,123,123,123,105,101,101,101,101,102,123,123,123,120,121,121,121,121,107,129,80,104,8,7,21,21,21
123,123,123,125,122,123,123,123,123,123,123,123,123,123,123,123,123,105,101,101,101,101,102,123,123,123,123,123,123,80,81,112,114,104,7,28,27,8,21,21
86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,104,101,101,101,83,122,123,80,82,123,123,123,120,84,132,134,106,27,87,89,28,21,21
21,21,8,0,1,1,1,1,1,1,1,4,7,106,7,116,7,8,101,101,116,102,80,81,104,102,123,123,123,123,120,121,121,121,121,107,109,94,21,21
8,21,28,20,41,22,47,101,22,116,101,24,27,7,27,8,27,28,101,8,101,102,105,101,101,103,82,123,123,123,123,123,123,123,123,127,129,120,84,21
28,0,1,26,46,0,1,1,1,4,67,24,106,27,7,28,7,116,101,28,8,102,105,48,101,48,102,123,80,82,123,80,81,81,81,112,114,82,120,121
21,20,101,101,101,20,0,1,2,24,41,25,4,7,27,7,27,101,7,21,28,102,105,101,101,101,102,123,100,103,82,120,84,21,8,132,134,103,81,81
21,20,116,0,1,26,40,101,24,24,101,101,24,27,8,27,101,101,27,8,21,102,105,101,65,9,10,10,78,79,103,82,100,21,28,106,106,101,101,101
0,26,47,20,101,106,40,67,44,25,2,67,25,4,28,101,47,7,21,28,8,102,105,101,45,29,30,31,98,99,101,102,120,84,101,101,67,101,67,8
20,8,101,20,47,0,26,101,25,106,22,22,101,24,8,116,101,27,8,21,28,102,105,65,66,49,50,51,118,119,101,103,82,120,84,101,101,101,101,28
20,28,47,20,48,20,101,111,67,44,67,4,101,44,28,8,41,116,28,21,21,102,100,45,45,41,70,71,138,48,101,9,10,12,78,79,65,101,48,101
20,101,101,40,101,60,6,101,5,64,101,44,106,24,7,28,7,101,9,10,11,10,78,79,101,101,102,123,100,101,101,29,30,32,98,99,101,101,101,101
60,6,116,20,101,116,60,67,64,101,47,44,8,24,27,7,27,101,29,30,31,30,98,99,101,101,102,123,100,101,101,49,50,52,118,119,101,0,1,4
106,20,101,60,6,101,101,101,116,101,7,44,28,24,116,27,101,47,49,10,10,50,118,119,48,101,102,123,120,84,48,68,70,72,138,68,101,20,111,24
21,20,101,47,60,61,61,61,61,61,27,64,101,25,2,48,101,101,8,101,101,70,138,101,101,101,103,82,123,100,101,101,103,82,120,84,101,60,61,64
21,60,6,101,101,101,116,101,47,101,101,101,101,101,48,101,8,101,28,101,48,102,120,84,101,101,101,102,123,100,67,101,101,103,123,120,84,21,21,21
116,21,60,61,61,61,61,61,61,61,61,61,61,61,62,101,28,101,101,116,101,103,82,105,101,101,48,102,123,100,101,101,48,101,102,123,100,21,21,21
